Model,CV_MAE,MAE_STD,CV_RMSE,RMSE_STD
Gradient Boosting,0.8500608474666255,0.16682620862030573,2.208525690173085,0.7656104640882551
Extra Trees,0.8984042013999947,0.16408069943600442,2.464176416955864,0.8296909990257105
HistGradientBoosting,0.9402743013573222,0.13264747958542186,2.175031800004702,0.6152155932467572
Random Forest,0.994679419833092,0.17335127507889778,2.2691104708157557,0.7105635654994676
Linear Regression,3.4615002812081657,0.131707786154416,4.227030294891639,0.22714315253550008
